material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95,Kappa_cal_derived_matbench,id_unverifiable,has_oxygen,stoichiometry_pattern,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
d2bfc879d9,Cs6SmTe4I,24,1265.2591277400288,4.1605956282664165,3170.1943628,12.16011637987842,6.286097172033515,2.057029552692512,0.0788641949340513,0.0720220344394551,0.165309922295793,0.1300760842386391,0.1651572407019092,0.2088449025809142,0.1749992411418398,False,False,,10.590612660050246,5.777763487415865,2.2331431591339017,0.12199331688860962,10.72805,5.6098137,2.2166986,0.11876587892467728,0.12199331688860962,0.7379672992061787
c23af56c1a,Cs6BiTe4Br,24,1235.8724094119104,4.290752225392685,3193.4342228,13.617946789862971,7.030026921843943,2.055004819096506,0.0538240687251008,0.0506099897510435,0.1914103340383239,0.1700407699024158,0.1906009395162516,0.2135211210616979,0.0653022784802934,False,False,,10.745344506405008,5.138069187444685,2.250078452954208,0.09857483566301409,8.691359,5.1393,2.2383652,0.09927873201909973,0.09857483566301409,0.5149922346579134
0a47011675,Cs3K3(SbTe3)2,28,1331.3495568427766,3.8044704672853142,3050.2625114,13.730881901113372,7.193170615891897,2.081766189066258,0.0627415856339408,0.0521847504943357,0.1799223042423067,0.1503172370045727,0.179846792617634,0.2146376989312957,0.1951281075678076,False,False,,10.577221901879339,5.385324454635208,2.1336065222478307,0.11073768360762283,10.007161,4.732601,2.1665292,0.08842057254360455,0.11073768360762283,0.6154750189197727
b903a62657,Cs5K7(SbTe3)4,28,1308.931059152356,3.750625058241698,2956.4553595,13.99873937365462,7.348666414342603,2.0819030757208363,0.0570590802808028,0.0469280879958417,0.1860261272156031,0.1602965982560907,0.186610296006844,0.2151815537853824,0.2172597409895904,False,False,,10.58557825690025,5.886926423097732,2.127150490886643,0.1273079577194354,9.407933,5.05493,2.159624,0.09813982814881174,0.1273079577194354,0.684355254957742
e3d3dd3c8d,Cs5Rb(SbTe3)2,28,1480.6646593093485,3.945632476144609,3518.230119,13.368490466410464,6.94280475642352,2.087490535461622,0.0594181315160362,0.046532266797705,0.1726172920297312,0.1343326482082658,0.1722970381752522,0.2184365314172585,0.1290189071813406,False,False,,10.366259338806582,5.184821150250159,2.151387461403634,0.10459474184434535,9.310971,4.4817805,2.1769574,0.08200803610255515,0.10459474184434535,0.6059343221902137
fd18e8576b,Cs4HfTe4,36,1940.0049016468693,4.178767876055361,4882.0472304,15.120958364529342,7.77742873220239,2.054402264885167,0.0597159453489772,0.0436849062306057,0.174987463205514,0.1409238569247793,0.1751326668668923,0.2185773163356725,0.0888239675753869,False,False,,10.513943714463451,5.480856000371553,2.139671537474274,0.09503028963784708,9.842971,4.699778,2.1456277,0.0751599193450263,0.09503028963784708,0.5430691313367906
85fdcba4cd,Cs12Bi(SbTe4)3,28,1507.3665548501551,4.07633801925754,3700.3258228,13.396863834474296,6.940456979899034,2.097456089406087,0.0539326826764954,0.0384448541965243,0.1690713383747399,0.1295454755795486,0.1687417892784977,0.2196801034117217,0.1025419976029404,False,False,,10.315179899578427,5.203875937897011,2.1564474275913694,0.10354457732562321,9.296392,4.1479897,2.1764483,0.07242578866115014,0.10354457732562321,0.6124312868223754
c8f38b5aea,Cs5K(SbTe3)2,28,1447.1683391208603,3.9305460737162656,3425.491119,13.327752596788264,6.942537006909913,2.085654159588025,0.0603473619934473,0.0492352815089837,0.1719278587597495,0.1367381346531133,0.1727760517887119,0.2197481618570999,0.1375450695857074,False,False,,10.322289120023402,5.217597280643408,2.146939510756865,0.1054293236955633,9.288913,4.5355043,2.1769574,0.08298484841957461,0.1054293236955633,0.6132183838972213
8111fef992,Cs4K7Rb(SbTe3)4,28,1286.739596320731,3.754091013801244,2909.0177076,14.416722683802227,7.60690552371271,2.07598419521307,0.0553873110112512,0.0468266524141683,0.1958467678241651,0.1747087854365753,0.195502608608357,0.2202761479899999,0.2249306966170917,False,False,,10.597688474590177,5.928125082681024,2.127707962460068,0.12776749962663975,9.407933,5.0606484,2.159624,0.09769995532615325,0.12776749962663975,0.6523850306345204
d560cc829c,Cs6TbTe4I,24,1254.6941659209765,4.218301109451907,3187.3250628,12.84956681666414,6.661243821610644,2.048411775549018,0.0711399585698668,0.063683878085585,0.1801231690983045,0.1459364492932817,0.1797090947249819,0.222875704959399,0.160733070113899,False,False,,10.552507007538628,5.715288003575742,2.2340491317211635,0.11877624250804333,10.72805,5.6098137,2.2166986,0.11762151958749577,0.11877624250804333,0.6594167929791402
